     001  ,  28 February  1942  ,  420228  ,  999999  -  999999
     002  ,  07 March     1942  ,  420307  ,  999999  -  999999
     003  ,  25 July      1946  ,  460725  ,  999999  -  999999
     004  ,  19 November  1949  ,  491119  ,  999999  -  999999
     005  ,  23 February  1956  ,  560223  ,  020000  -  030000    
     006  ,  31 August    1956  ,  560831  ,  110000  -  120000    
     007  ,  17 July      1959  ,  590716  ,  220000  -  240000 
     008  ,  04 May       1960  ,  600504  ,  090000  -  100000    
     009  ,  03 September 1960  ,  600902  ,  230000  -  240000 
     010  ,  12 November  1960  ,  601112  ,  120000  -  130000    
     011  ,  15 November  1960  ,  601115  ,  010000  -  020000    
     012  ,  20 November  1960  ,  601120  ,  190000  -  200000    
     013  ,  18 July      1961  ,  610718  ,  090000  -  100000    
     014  ,  20 July      1961  ,  610720  ,  150000  -  160000    
     015  ,  07 July      1966  ,  660706  ,  230000  -  240000 
     016  ,  28 January   1967  ,  670128  ,  010000  -  020000    
     017  ,  28 January   1967  ,  670128  ,  060000  -  070000    
     018  ,  29 September 1968  ,  680929  ,  150000  -  160000    
     019  ,  18 November  1968  ,  681118  ,  090000  -  100000    
     020  ,  25 February  1969  ,  690225  ,  080000  -  090000    
     021  ,  30 March     1969  ,  690330  ,  020000  -  030000    
     022  ,  24 January   1971  ,  710124  ,  220000  -  230000    
     023  ,  01 September 1971  ,  710901  ,  180000  -  190000    
     024  ,  04 August    1972  ,  720804  ,  110000  -  120000    
     025  ,  07 August    1972  ,  720807  ,  140000  -  150000    
     026  ,  29 April     1973  ,  730429  ,  200000  -  210000    
     027  ,  30 April     1976  ,  760430  ,  200000  -  210000    
     028  ,  19 September 1977  ,  770919  ,  090000  -  100000    
     029  ,  24 September 1977  ,  770924  ,  050000  -  060000  
     030  ,  22 November  1977  ,  771122  ,  090000  -  100000    
     031  ,  07 May       1978  ,  780507  ,  020000  -  030000    
     032  ,  23 September 1978  ,  780923  ,  090000  -  100000    
     033  ,  21 August    1979  ,  790821  ,  050000  -  060000    
     034  ,  10 April     1981  ,  810410  ,  150000  -  160000    
     035  ,  10 May       1981  ,  810510  ,  060000  -  070000    
     036  ,  12 October   1981  ,  811012  ,  050000  -  060000    
     037  ,  26 November  1982  ,  821126  ,  020000  -  030000   
     038  ,  07 December  1982  ,  821207  ,  220000  -  230000    
     039  ,  16 February  1984  ,  840216  ,  080000  -  090000    
     040  ,  25 July      1989  ,  890725  ,  070000  -  080000    
     041  ,  16 August    1989  ,  890815  ,  230000  -  240000 
     042  ,  29 September 1989  ,  890929  ,  100000  -  110000    
     043  ,  19 October   1989  ,  891019  ,  110000  -  120000    
     044  ,  22 October   1989  ,  891022  ,  160000  -  170000    
     045  ,  24 October   1989  ,  891024  ,  160000  -  170000    
     046  ,  15 November  1989  ,  891115  ,  050000  -  060000    
     047  ,  21 May       1990  ,  900521  ,  210000  -  220000    
     048  ,  24 May       1990  ,  900524  ,  190000  -  200000    
     049  ,  26 May       1990  ,  900526  ,  190000  -  200000    
     050  ,  28 May       1990  ,  900528  ,  030000  -  040000    
     051  ,  11 June      1991  ,  910611  ,  000000  -  010000    
     052  ,  15 June      1991  ,  910615  ,  070000  -  080000    
     053  ,  25 June      1992  ,  920625  ,  180000  -  190000    
     054  ,  02 November  1992  ,  921102  ,  020000  -  030000    
     055  ,  06 November  1997  ,  971106  ,  110000  -  120000
     056  ,  02 May       1998  ,  980502  ,  110000  -  120000
     057  ,  06 May       1998  ,  980506  ,  070000  -  080000
     058  ,  24 August    1998  ,  980824  ,  190000  -  200000
     059  ,  14 July      2000  ,  000714  ,  090000  -  100000
     060  ,  15 April     2001  ,  010415  ,  110000  -  120000
     061  ,  18 April     2001  ,  010418  ,  010000  -  020000
     062  ,  04 November  2001  ,  011104  ,  150000  -  160000
     063  ,  26 December  2001  ,  011226  ,  040000  -  050000
     064  ,  24 August    2002  ,  020824  ,  010000  -  020000
     065  ,  28 October   2003  ,  031028  ,  100000  -  110000
     066  ,  29 October   2003  ,  031029  ,  190000  -  200000
     067  ,  02 November  2003  ,  031102  ,  160000  -  170000
     068  ,  17 January   2005  ,  050117  ,  090000  -  100000 
     069  ,  20 January   2005  ,  050120  ,  053000  -  063000
     070  ,  13 December  2006  ,  061213  ,  010000  -  020000
